Nombres del Congresista,Votacion Obtenida,Año Legislativo,Inicio de Funciones,Termino de Funciones,Partido Politico,Bancada que pertence,Representa a,Url de Proyectos,Condicion
José Daniel Williams Zapata,44789,2022,26-Jul-2021,27-Jul-2026,Avanza País - Partido de Integración Social,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,Lima,https://www.congreso.gob.pe/congresistas2021/JoseWilliams/,en Ejercicio
Martha Lupe Moyano Delgado,23260,2022,26-Jul-2021,27-Jul-2026,Fuerza Popular,FUERZA POPULAR,Lima,https://www.congreso.gob.pe/congresistas2021/MarthaMoyano/,en Ejercicio
Silvia María Monteza Facho,7171,2022,26-Jul-2021,27-Jul-2026,Acción Popular,ACCION POPULAR,Cajamarca,https://www.congreso.gob.pe/congresistas2021/SilviaMonteza/,en Ejercicio
Alejandro Muñante Barrios,21014,2022,26-Jul-2021,27-Jul-2026,Renovación Popular,RENOVACIÓN POPULAR,Lima,https://www.congreso.gob.pe/congresistas2021/AlejandroMunante/,en Ejercicio
Norma Martina Yarrow Lumbreras,51103,2022,26-Jul-2021,27-Jul-2026,Renovación Popular,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,Lima,https://www.congreso.gob.pe/congresistas2021/NormaYarrow/,en Ejercicio
Bernardo Jaime Quito Sarmiento,41430,2022,26-Jul-2021,27-Jul-2026,Partido Politico Nacional Perú Libre,PERÚ LIBRE,Arequipa,https://www.congreso.gob.pe/congresistas2021/BernardoQuito/,en Ejercicio
José María Balcázar Zelada,6641,2022,26-Jul-2021,27-Jul-2026,Partido Politico Nacional Perú Libre,PERÚ BICENTENARIO,Lambayeque,https://www.congreso.gob.pe/congresistas2021/JoseBalcazar/,en Ejercicio
Carmen Patricia Juárez Gallegos,40125,2022,26-Jul-2021,27-Jul-2026,Fuerza Popular,FUERZA POPULAR,Lima,https://www.congreso.gob.pe/congresistas2021/CarmenJuarez/,en Ejercicio
María de los Milagros Jackeline Jáuregui Martínez de Aguayo,68003,2022,26-Jul-2021,27-Jul-2026,Renovación Popular,RENOVACIÓN POPULAR,Lima,https://www.congreso.gob.pe/congresistas2021/MariaJauregui/,en Ejercicio
Elvis Hernán Vergara Mendoza,4486,2022,26-Jul-2021,27-Jul-2026,Acción Popular,ACCION POPULAR,Ucayali,https://www.congreso.gob.pe/congresistas2021/ElvisVergara/,en Ejercicio
Alejandro Soto Reyes,29073,2022,26-Jul-2021,27-Jul-2026,Alianza para el Progreso,ALIANZA PARA EL PROGRESO,Cusco,https://www.congreso.gob.pe/congresistas2021/AlejandroSotoReyes/,en Ejercicio
Edgard Cornelio Reymundo Mercado,7912,2022,26-Jul-2021,27-Jul-2026,Juntos por el Perú,CAMBIO DEMOCRÁTICO - JUNTOS POR EL PERÚ,Junín,https://www.congreso.gob.pe/congresistas2021/EdgardReymundo/,en Ejercicio
Margot Palacios Huamán,11781,2022,26-Jul-2021,27-Jul-2026,Partido Politico Nacional Perú Libre,PERÚ LIBRE,Ayacucho,https://www.congreso.gob.pe/congresistas2021/MargotPalacios/,en Ejercicio
Hernando Guerra García Campos,55987,2022,26-Jul-2021,27-Jul-2026,Fuerza Popular,FUERZA POPULAR,Lima,https://www.congreso.gob.pe/congresistas2021/HernandoGuerraGarcia/,en Ejercicio
Elizabeth Sara Medina Hermosilla,11300,2022,26-Jul-2021,27-Jul-2026,Partido Politico Nacional Perú Libre,BLOQUE MAGISTERIAL DE CONCERTACIÓN NACIONAL,Huánuco,https://www.congreso.gob.pe/congresistas2021/ElizabethMedina/,en Ejercicio
Hilda Marleny Portero López,8568,2022,26-Jul-2021,27-Jul-2026,Acción Popular,ACCION POPULAR,Lambayeque,https://www.congreso.gob.pe/congresistas2021/HildaPortero/,en Ejercicio
Lady Mercedes Camones Soriano,6203,2022,26-Jul-2021,27-Jul-2026,Alianza para el Progreso del Perú,ALIANZA PARA EL PROGRESO,Ancash,https://www.congreso.gob.pe/congresistas2021/LadyCamones/,en Ejercicio
