Nombres del Congresista,Año Legislativo,Periodo de Legislatura Ordinaria,Fecha de Presentacion,Estado,Titulo,Codigo
José Daniel Williams Zapata,2022,Legislatura Ordinaria 2022 - 2023,21/06/2023,EN COMISIÓN,"LEY QUE MODIFICA LOS ARTÍCULOS 4° Y 6° DE LA LEY N° 29988, MODIFICADA POR EL DECRETO DE URGENCIA N° 019-2019.",05428/2022-CR
José Daniel Williams Zapata,2022,Legislatura Ordinaria 2022 - 2023,21/06/2023,EN COMISIÓN,LEY DE REFORMA CONSTITUCIONAL QUE HABILITA DE MANERA EXCEPCIONAL LA DOBLE PERCEPCIÓN DEL PERSONAL DE LA POLICÍA NACIONAL DEL PERÚ CUANDO CAUTELEN EL ORDEN INTERNO PARA UNA ENTIDAD PÚBLICA.,05427/2022-CR
José Daniel Williams Zapata,2022,Legislatura Ordinaria 2022 - 2023,20/06/2023,Publicada en el Diario Oficial El Peruano,RESOLUCIÓN LEGISLATIVA DEL CONGRESO DE LA REPÚBLICA QUE DELEGA EN LA COMISIÓN PERMANENTE LA FACULTAD DE LEGISLAR,05415/2022-CR
José Daniel Williams Zapata,2022,Legislatura Ordinaria 2022 - 2023,20/06/2023,EN COMISIÓN,LEY QUE PROMUEVE LA PREVENCIÓN DE RIESGO ESCOLAR DESDE LA TUTORÍA Y BIENESTAR SOCIOEMOCIONAL EN LAS INSTITUCIONES EDUCATIVAS.,05411/2022-CR
José Daniel Williams Zapata,2022,Legislatura Ordinaria 2022 - 2023,09/06/2023,EN COMISIÓN,"LEY QUE MODIFICA LA LEY N° 13191, LEY QUE CREA LA FEDERACIÓN DEPORTIVA MILITAR DEL PERÚ, MODIFICADA POR DECRETO LEY 19509 Y POR DECRETO LEY 22769.",05313/2022-CR
José Daniel Williams Zapata,2022,Legislatura Ordinaria 2022 - 2023,08/06/2023,EN COMISIÓN,LEY QUE PERMITE DICTAR PRISIÓN PREVENTIVA CUANDO IMPUTADO REPRESENTE PELIGRO PARA LA SOCIEDAD Y/0 LA VÍCTIMA,05282/2022-CR
José Daniel Williams Zapata,2022,Legislatura Ordinaria 2022 - 2023,06/06/2023,EN COMISIÓN,LEY QUE MODIFICA LA LEY ORGÁNICA DE MUNICIPALIDADES PARA PRECISAR ASPECTOS DEL FUNCIONAMIENTO DE LAS MUNICIPALIDADES DE CENTROS POBLADOS,05259/2022-CR
José Daniel Williams Zapata,2022,Legislatura Ordinaria 2022 - 2023,06/06/2023,EN COMISIÓN,"LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA RESTAURACIÓN Y CONSERVACIÓN PERMANENTE DE LA FORTALEZA DEL REAL FELIPE, UBICADA CON LA PROVINCIA CONSTITUCIONAL DEL CALLAO",05258/2022-CR
José Daniel Williams Zapata,2022,Legislatura Ordinaria 2022 - 2023,06/06/2023,EN COMISIÓN,LEY QUE GARANTIZA IGUALDAD LABORAL PARA LOS DOCENTES INSTRUCTORES DEL SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL (SENATI),05256/2022-CR
José Daniel Williams Zapata,2022,Legislatura Ordinaria 2022 - 2023,06/06/2023,EN COMISIÓN,LEY GENERAL PARA LA ATENCIÓN INTEGRAL DE LOS PACIENTES CON INSUFICIENCIA RENAL AGUDA Y CRÓNICA,05254/2022-CR
José Daniel Williams Zapata,2022,Legislatura Ordinaria 2022 - 2023,24/05/2023,EN COMISIÓN,LEY QUE DESARROLLA LAS LIMITACIONES A LA PROPIEDAD O POSESIÓN DE TIERRAS POR EXTRANJEROS EN TERRITORIO NACIONAL CONTENIDA EN EL ARTÍCULO 71° DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ SOBRE LA PROPIEDAD DE EXTRANJEROS EN ZONAS FRONTERIZAS,05159/2022-CR
José Daniel Williams Zapata,2022,Legislatura Ordinaria 2022 - 2023,23/05/2023,EN COMISIÓN,"LEY QUE MODIFICA EL ARTÍCULO 40 DEL TEXTO ÚNICO ORDENADO DE LA LEY DEL SISTEMA PRIVADO DE ADMINISTRACIÓN DE FONDOS DE PENSIONES, APROBADO POR EL DECRETO SUPREMO 054-97-EF, MODIFICADO CON LA LEY N° 30822.",05149/2022-CR
